driverId,lap,stop,time,duration,Season,Round
tsunoda,6,1,16:17:00,25.068,2022,7
hamilton,15,1,16:31:22,24.796,2022,7
perez,16,1,16:32:29,24.409,2022,7
norris,17,1,16:34:17,24.872,2022,7
mick_schumacher,17,2,16:35:15,36.854,2022,7
leclerc,18,1,16:35:26,25.710,2022,7
max_verstappen,18,1,16:35:33,27.009,2022,7
albon,18,1,16:36:49,27.231,2022,7
ricciardo,19,1,16:38:22,26.056,2022,7
zhou,19,1,16:38:23,25.594,2022,7
latifi,19,3,16:38:26,26.910,2022,7
bottas,20,1,16:39:34,25.865,2022,7
sainz,21,1,16:40:05,24.666,2022,7
leclerc,21,2,16:40:08,28.034,2022,7
russell,21,1,16:40:29,25.352,2022,7
alonso,21,1,16:40:33,24.526,2022,7
ocon,21,1,16:40:50,24.875,2022,7
tsunoda,21,2,16:41:30,26.021,2022,7
perez,22,2,16:41:35,24.536,2022,7
max_verstappen,22,2,16:41:38,26.930,2022,7
norris,22,2,16:41:58,24.760,2022,7
hamilton,22,2,16:42:19,24.507,2022,7
gasly,22,2,16:42:42,28.770,2022,7
latifi,3,1,15:09:50,29.395,2022,8
leclerc,9,1,15:20:26,23.212,2022,8
russell,9,1,15:20:43,20.538,2022,8
gasly,9,1,15:20:49,22.698,2022,8
hamilton,9,1,15:20:54,21.470,2022,8
vettel,9,1,15:20:55,20.249,2022,8
tsunoda,9,1,15:20:57,23.083,2022,8
zhou,9,1,15:21:08,23.001,2022,8
kevin_magnussen,9,1,15:21:11,21.555,2022,8
albon,9,1,15:21:16,25.577,2022,8
mick_schumacher,9,1,15:21:23,26.973,2022,8
perez,16,1,15:33:43,23.379,2022,8
latifi,17,2,15:37:03,22.069,2022,8
max_verstappen,18,1,15:37:17,21.468,2022,8
alonso,18,1,15:37:59,20.571,2022,8
norris,20,1,15:41:42,21.443,2022,8
mick_schumacher,23,2,15:47:51,22.231,2022,8
albon,29,2,15:58:39,21.540,2022,8
stroll,30,1,16:00:30,22.059,2022,8
max_verstappen,33,2,16:04:40,20.722,2022,8
perez,33,2,16:04:56,22.349,2022,8
russell,33,2,16:05:19,20.527,2022,8
hamilton,33,2,16:05:49,20.831,2022,8
ricciardo,33,1,16:06:02,21.794,2022,8
ocon,33,1,16:06:22,22.638,2022,8
bottas,33,1,16:06:34,20.979,2022,8
tsunoda,38,2,16:15:56,41.500,2022,8
vettel,5,1,14:10:02,23.406,2022,9
gasly,5,1,14:10:04,23.557,2022,9
kevin_magnussen,7,1,14:12:33,38.262,2022,9
max_verstappen,9,1,14:15:15,24.217,2022,9
hamilton,9,1,14:15:24,23.845,2022,9
tsunoda,9,1,14:15:50,23.248,2022,9
latifi,9,1,14:15:59,24.020,2022,9
albon,18,1,14:28:07,23.804,2022,9
russell,19,1,14:29:03,23.951,2022,9
ocon,19,1,14:29:16,25.684,2022,9
zhou,19,1,14:29:24,24.281,2022,9
ricciardo,19,1,14:29:26,27.937,2022,9
norris,19,1,14:29:34,43.032,2022,9
vettel,19,2,14:29:44,23.681,2022,9
sainz,20,1,14:30:33,24.215,2022,9
alonso,28,1,14:41:26,23.779,2022,9
gasly,36,2,14:52:35,23.613,2022,9
latifi,37,2,14:54:22,30.034,2022,9
leclerc,41,1,14:58:44,26.199,2022,9
max_verstappen,43,2,15:00:29,23.704,2022,9
norris,42,2,15:00:41,24.134,2022,9
hamilton,44,2,15:02:06,23.841,2022,9
russell,45,2,15:03:30,24.069,2022,9
stroll,47,1,15:06:55,25.252,2022,9
tsunoda,47,2,15:07:00,23.450,2022,9
sainz,49,2,15:08:24,24.881,2022,9
albon,48,2,15:08:45,23.530,2022,9
ocon,49,2,15:09:34,23.945,2022,9
alonso,49,2,15:09:42,25.139,2022,9
bottas,49,1,15:09:50,26.089,2022,9
max_verstappen,1,1,15:05:31,50:37.323,2022,10
sainz,1,1,15:05:33,50:31.752,2022,10
hamilton,1,1,15:05:36,50:46.888,2022,10
leclerc,1,1,15:05:37,50:36.360,2022,10
