driverId,lap,stop,duration,Season,Round
mick_schumacher,18,1,31.32,2022,4
max_verstappen,19,1,30.001,2022,4
leclerc,19,1,31.794,2022,4
norris,19,1,30.07,2022,4
ricciardo,30,3,30.155,2022,4
leclerc,49,2,30.042,2022,4
perez,50,2,29.627,2022,4
max_verstappen,51,2,29.942,2022,4
mick_schumacher,52,2,30.984,2022,4
leclerc,53,3,36.56,2022,4
tsunoda,11,1,18.87,2022,5
kevin_magnussen,12,1,19.76,2022,5
mick_schumacher,14,1,20.413,2022,5
alonso,15,1,21.638,2022,5
gasly,16,1,19.543,2022,5
albon,16,1,20.059,2022,5
norris,18,1,19.986,2022,5
hamilton,22,1,18.82,2022,5
leclerc,24,1,19.697,2022,5
max_verstappen,26,1,18.798,2022,5
bottas,26,1,19.614,2022,5
sainz,27,1,22.063,2022,5
perez,27,1,18.519,2022,5
ricciardo,30,1,19.484,2022,5
latifi,34,1,19.185,2022,5
russell,40,1,19.035,2022,5
stroll,40,1,19.074,2022,5
gasly,40,2,19.007,2022,5
perez,41,2,18.433,2022,5
ocon,41,1,19.019,2022,5
vettel,41,1,19.861,2022,5
ricciardo,41,2,19.28,2022,5
tsunoda,41,2,19.618,2022,5
kevin_magnussen,42,2,20.673,2022,5
mick_schumacher,54,2,32.381,2022,5
hamilton,1,1,31.054,2022,6
kevin_magnussen,1,1,29.632,2022,6
sainz,10,1,22.341,2022,6
alonso,10,1,22.375,2022,6
gasly,10,1,22.008,2022,6
zhou,10,1,23.109,2022,6
tsunoda,11,1,23.083,2022,6
ricciardo,11,1,22.124,2022,6
albon,11,1,23.419,2022,6
norris,12,1,21.916,2022,6
mick_schumacher,12,1,23.582,2022,6
latifi,12,1,23.189,2022,6
russell,13,1,22.154,2022,6
max_verstappen,13,1,22.173,2022,6
ocon,13,1,22.137,2022,6
bottas,14,1,22.987,2022,6
stroll,14,1,22.833,2022,6
perez,17,1,22.032,2022,6
leclerc,21,1,21.794,2022,6
vettel,21,1,22.536,2022,6
hamilton,22,2,22.105,2022,6
albon,25,2,22.657,2022,6
latifi,26,2,22.311,2022,6
stroll,27,2,23.394,2022,6
max_verstappen,28,2,21.966,2022,6
gasly,29,2,27.947,2022,6
kevin_magnussen,29,2,23.878,2022,6
mick_schumacher,30,2,23.127,2022,6
sainz,31,2,21.867,2022,6
alonso,31,2,21.914,2022,6
stroll,1,1,26.731,2022,7
latifi,1,1,36.773,2022,7
gasly,2,1,35.486,2022,7
stroll,2,2,32.75,2022,7
latifi,2,2,36.351,2022,7
mick_schumacher,4,1,27.637,2022,7
vettel,6,1,24.965,2022,7
tsunoda,6,1,25.068,2022,7
hamilton,15,1,24.796,2022,7
perez,16,1,24.409,2022,7
norris,17,1,24.872,2022,7
mick_schumacher,17,2,36.854,2022,7
leclerc,18,1,25.71,2022,7
max_verstappen,18,1,27.009,2022,7
albon,18,1,27.231,2022,7
ricciardo,19,1,26.056,2022,7
zhou,19,1,25.594,2022,7
latifi,19,3,26.91,2022,7
bottas,20,1,25.865,2022,7
sainz,21,1,24.666,2022,7
leclerc,21,2,28.034,2022,7
russell,21,1,25.352,2022,7
alonso,21,1,24.526,2022,7
ocon,21,1,24.875,2022,7
tsunoda,21,2,26.021,2022,7
perez,22,2,24.536,2022,7
max_verstappen,22,2,26.93,2022,7
norris,22,2,24.76,2022,7
hamilton,22,2,24.507,2022,7
gasly,22,2,28.77,2022,7
latifi,3,1,29.395,2022,8
leclerc,9,1,23.212,2022,8
russell,9,1,20.538,2022,8
gasly,9,1,22.698,2022,8
hamilton,9,1,21.47,2022,8
vettel,9,1,20.249,2022,8
tsunoda,9,1,23.083,2022,8
zhou,9,1,23.001,2022,8
kevin_magnussen,9,1,21.555,2022,8
albon,9,1,25.577,2022,8
mick_schumacher,9,1,26.973,2022,8
perez,16,1,23.379,2022,8
latifi,17,2,22.069,2022,8
max_verstappen,18,1,21.468,2022,8
