driverId,position,time,number,Season,Round
giovinazzi,15,87.724,2,2021,4
mick_schumacher,16,88.135,2,2021,4
tsunoda,17,87.714,2,2021,4
russell,18,88.774,2,2021,4
latifi,19,88.361,2,2021,4
mazepin,20,88.311,2,2021,4
max_verstappen,1,83.25,3,2021,4
hamilton,2,83.425,3,2021,4
leclerc,3,84.40299999999999,3,2021,4
bottas,4,84.121,3,2021,4
ricciardo,5,84.68,3,2021,4
perez,6,84.792,3,2021,4
ocon,7,85.236,3,2021,4
sainz,8,85.249,3,2021,4
norris,9,85.746,3,2021,4
alonso,10,85.69800000000001,3,2021,4
stroll,11,86.054,3,2021,4
vettel,12,86.125,3,2021,4
gasly,13,86.014,3,2021,4
raikkonen,14,86.17699999999999,3,2021,4
giovinazzi,15,86.328,3,2021,4
mick_schumacher,16,86.736,3,2021,4
tsunoda,17,86.76,3,2021,4
russell,18,87.083,3,2021,4
latifi,19,87.194,3,2021,4
mazepin,20,87.309,3,2021,4
max_verstappen,1,83.209,4,2021,4
hamilton,2,82.938,4,2021,4
leclerc,3,84.19800000000001,4,2021,4
bottas,4,84.19200000000001,4,2021,4
ricciardo,5,84.436,4,2021,4
perez,6,84.723,4,2021,4
ocon,7,84.858,4,2021,4
sainz,8,84.828,4,2021,4
norris,9,84.945,4,2021,4
alonso,10,85.09700000000001,4,2021,4
stroll,11,85.293,4,2021,4
vettel,12,85.312,4,2021,4
gasly,13,85.503,4,2021,4
raikkonen,14,85.58500000000001,4,2021,4
giovinazzi,15,85.723,4,2021,4
mick_schumacher,16,86.209,4,2021,4
tsunoda,17,86.189,4,2021,4
russell,18,86.223,4,2021,4
latifi,19,86.338,4,2021,4
mazepin,20,86.368,4,2021,4
max_verstappen,1,83.206,5,2021,4
hamilton,2,83.118,5,2021,4
leclerc,3,84.269,5,2021,4
bottas,4,84.78399999999999,5,2021,4
ricciardo,5,84.411,5,2021,4
perez,6,84.06700000000001,5,2021,4
ocon,7,84.449,5,2021,4
sainz,8,84.759,5,2021,4
norris,9,84.95,5,2021,4
alonso,10,85.17699999999999,5,2021,4
stroll,11,85.044,5,2021,4
vettel,12,85.201,5,2021,4
gasly,13,85.25,5,2021,4
raikkonen,14,85.363,5,2021,4
giovinazzi,15,85.571,5,2021,4
tsunoda,16,84.825,5,2021,4
mick_schumacher,17,87.21600000000001,5,2021,4
russell,18,86.348,5,2021,4
latifi,19,86.276,5,2021,4
mazepin,20,86.945,5,2021,4
max_verstappen,1,81.986,1,2021,5
bottas,2,83.015,1,2021,5
sainz,3,84.727,1,2021,5
norris,4,85.729,1,2021,5
gasly,5,86.902,1,2021,5
hamilton,6,87.982,1,2021,5
vettel,7,88.935,1,2021,5
perez,8,89.638,1,2021,5
giovinazzi,9,90.113,1,2021,5
ocon,10,90.963,1,2021,5
stroll,11,91.44800000000001,1,2021,5
raikkonen,12,93.051,1,2021,5
ricciardo,13,93.662,1,2021,5
alonso,14,94.069,1,2021,5
russell,15,94.90100000000001,1,2021,5
latifi,16,96.03999999999999,1,2021,5
tsunoda,17,96.731,1,2021,5
mick_schumacher,18,97.443,1,2021,5
mazepin,19,98.076,1,2021,5
max_verstappen,1,77.48,2,2021,5
bottas,2,77.613,2,2021,5
sainz,3,77.929,2,2021,5
norris,4,78.426,2,2021,5
gasly,5,78.737,2,2021,5
hamilton,6,78.742,2,2021,5
vettel,7,79.731,2,2021,5
perez,8,79.594,2,2021,5
giovinazzi,9,79.695,2,2021,5
ocon,10,80.154,2,2021,5
stroll,11,80.334,2,2021,5
raikkonen,12,80.858,2,2021,5
ricciardo,13,81.326,2,2021,5
alonso,14,81.498,2,2021,5
russell,15,81.405,2,2021,5
latifi,16,81.526,2,2021,5
tsunoda,17,81.852,2,2021,5
mick_schumacher,18,82.045,2,2021,5
mazepin,19,81.965,2,2021,5
max_verstappen,1,77.298,3,2021,5
bottas,2,77.32900000000001,3,2021,5
sainz,3,77.32,3,2021,5
norris,4,77.634,3,2021,5
gasly,5,77.821,3,2021,5
hamilton,6,78.24,3,2021,5
vettel,7,78.77799999999999,3,2021,5
perez,8,78.532,3,2021,5
giovinazzi,9,79.07,3,2021,5
ocon,10,79.42099999999999,3,2021,5
stroll,11,79.437,3,2021,5
raikkonen,12,79.846,3,2021,5
ricciardo,13,79.874,3,2021,5
alonso,14,80.548,3,2021,5
russell,15,80.458,3,2021,5
latifi,16,80.126,3,2021,5
tsunoda,17,79.82900000000001,3,2021,5
mick_schumacher,18,80.586,3,2021,5
mazepin,19,80.73,3,2021,5
max_verstappen,1,77.237,4,2021,5
bottas,2,77.154,4,2021,5
sainz,3,78.02799999999999,4,2021,5
norris,4,77.77199999999999,4,2021,5
gasly,5,78.06,4,2021,5
hamilton,6,77.936,4,2021,5
vettel,7,78.133,4,2021,5
perez,8,78.164,4,2021,5
giovinazzi,9,78.34,4,2021,5
ocon,10,78.494,4,2021,5
stroll,11,78.644,4,2021,5
raikkonen,12,79.102,4,2021,5
ricciardo,13,79.801,4,2021,5
alonso,14,80.121,4,2021,5
russell,15,80.09100000000001,4,2021,5
latifi,16,80.175,4,2021,5
tsunoda,17,80.526,4,2021,5
mick_schumacher,18,79.93,4,2021,5
mazepin,19,79.805,4,2021,5
max_verstappen,1,76.892,5,2021,5
bottas,2,77.236,5,2021,5
sainz,3,77.304,5,2021,5
norris,4,77.864,5,2021,5
gasly,5,77.90899999999999,5,2021,5
hamilton,6,78.221,5,2021,5
